row_id,trigger,target,specification
537,being an overnight guest,how to respond to offers,accept refreshments and offer to help
538,staying overnight at someone's home,offering to help,offer to help with chores or cooking
539,end of a meal,compliment towards host,make a small compliment
540,end of a meal,complimenting the host,compliment the cooking and hospitality
541,end of a meal,when to compliment,make a compliment towards the end
542,receiving a gift,how to open the gift,open it immediately upon receipt
543,receiving a gift,when to open the gift,open immediately upon receipt
544,presenting a gift,how to present the gift,wrap it well and consider preferences
545,social events,arrival time,arrive half an hour to an hour late
546,arriving at an appointment,punctuality,arrive slightly after the designated time
547,arriving at social gatherings,timing of arrival,arrive slightly later to respect the host
548,,,
549,,,
550,casual social gatherings,punctuality,arrive later than the designated time
551,being offered a drink and food,how to respond,accept the drink and finish all food
552,,,
553,during meals,hand position,keep both hands above the table
554,choosing a gift,type of gift,select gifts symbolizing positive intentions
555,giving a gift,type of gift,avoid gifts symbolizing severing ties
556,giving a gift,type of gift,avoid giving sharp objects
557,greeting someone,how to respond,pause and engage in conversation
558,greeting someone,behavior during greeting,pause to chat briefly
559,greeting someone,how to greet,pause to engage in conversation
560,spontaneous visits,when to visit,visit friends and relatives spontaneously
561,attending mourning events,behavior at the event,bring food as a sign of support
562,visiting friends and relatives,when to visit,visit spontaneously without prior arrangement
563,during communal meals,eating behavior,respect dietary restrictions and norms
564,receiving a meal,request for additional servings,do not request more food
565,during meals,when to start eating and how much to eat,follow the host's cue
566,visiting someone's home,bringing food,bring food as a gift
567,visiting someone's home,bringing food as a gift,considered a kind gesture
568,visiting someone's home,bringing food as a gift,considered a thoughtful gesture
569,offering or gesturing something,which hand to use,use right hand or both hands
570,offering or passing objects,which hand to use,use right hand or both hands
571,offering or passing objects,which hand to use,use right hand or both hands
572,receiving offers or compliments,initial response,initially decline out of humility
573,being offered something,initial response,decline politely before accepting
574,offered something,how to respond to offers,decline twice before accepting
575,offered refreshments by the host,acceptance of refreshments,accept as a sign of respect and friendship
576,visiting a friend's home,shoe removal and seating,remove shoes and wait to be guided
577,being offered a refreshment,acceptance of the refreshment,accept it as a gesture of respect
578,end of a meal,how much food to leave,leave some food on your plate
579,during a meal,how much food to leave,leave a small portion of food
580,end of a meal,how much food to leave,leave a small amount of food
581,giving a gift,how to give the gift,do so discreetly and without expecting acknowledgment
582,giving a gift,how to present the gift,do so subtly and consider beliefs
583,giving a gift,how to present the gift,offer gifts subtly
584,making a transaction,physical contact,avoid direct contact and use a tray
